,F01_P1.rtf,F02_P3.rtf,F03_P4.rtf,F04_P5.rtf,F05_P6.rtf,F06_P9.rtf,F07_P10.rtf,F08_P11.rtf,F09_P13.rtf,F10_P14.rtf,F11_P16.rtf,F12_P17.rtf,F13_P18.rtf,F14_P19.rtf,F15_P20.rtf,F16_P22.rtf,F17_P23.rtf,F18_P27.rtf,F19_P29.rtf,F20_P31.rtf,F21_P32.rtf,F22_P36.rtf,F23_P39.rtf,F24_P40.rtf,F25_P41.rtf,F26_P42.rtf,F27_P43.rtf,F28_P45.rtf,F29_P46.rtf,F30_P48.rtf,F31_P49.rtf,F32_P51.rtf,F33_P52.rtf,F34_P55.rtf,F35_P56.rtf,F36_P57.rtf,F37_P60.rtf,F38_P61.rtf,F39_P62.rtf,F40_P63.rtf,F41_P65.rtf,F42_P68.rtf,F43_P69.rtf,F44_P70.rtf,F45_P71.rtf,F46_P72.rtf
M11_P35.rtf,0.074917493,0.302893232,0.311403438,0.367998547,0.174929859,-0.04332753,-0.014415769,0.487003205,0.647284401,0.462708719,0.196906505,-0.011695092,0.39664478,0.377036089,0.526943739,0.156844315,0.014629112,0.119871255,0.230523926,0.148625358,0.548666537,0.276653984,0.230700734,0.014397478,0.289894264,0.197822659,0.332131519,0.397426916,0.097966739,0.285182605,0.204121997,0.492379015,0.175332806,0.238930146,0.48903055,0.113475735,0.263049988,0.345163932,0.553696929,0.308546431,0.272348291,0.074375232,0.282201492,0.496000705,0.119694274,0.575088296
M12_P37.rtf,0.457634045,0.080619613,0.425157722,0.246743955,-0.136924433,-0.004181099,0.025520523,0.468169495,0.564338176,0.347271529,0.116500387,-0.007832009,0.441382861,0.130430231,0.321041368,-0.174344004,0.049110846,0.081047578,0.079611239,0.087594756,0.412777368,0.159566063,0.215385047,0.187141363,0.218343625,0.213563784,0.362674398,0.154795331,0.007001731,0.189728477,0.013477829,0.251981217,0.173122881,-0.028747524,0.425470302,0.038121105,0.200436037,-0.018447765,0.410834476,0.009905969,0.091944747,0.134399475,0.138756951,0.228862459,-0.006165105,0.113712285
M13_P38.rtf,-0.011577568,0.039145825,0.123742796,0.071153371,0.097904887,0.003755647,0.025444601,0.081344393,0.141160976,0.060001558,0.020134466,0.139094491,0.190978146,-0.009806933,0.096297778,0.02703686,0.083162934,0.057650088,0.062252611,0.08854106,0.046682767,0.051825969,0.021459038,0.049667246,0.201402607,0.191958766,0.101590468,0.217172778,0.039073567,0.146531821,0.052094082,0.10585412,0.133613662,0.050345831,0.178931733,0.030522417,0.007553362,0.085426234,0.111686466,0.150839461,0.156417633,0.081683103,0.089137629,0.43162999,0.027171358,0.093408758
M14_P50.rtf,0.093816467,0.191183866,0.21596484,0.457458149,0.224715822,0.019044854,-0.134990921,0.354480044,0.376500053,0.295202786,0.016803107,0.05067926,0.294813121,0.262301111,0.382157642,0.346271042,0.095476173,0.194672292,-0.029958219,0.209135646,0.474232674,0.205174036,0.270055407,0.174127832,0.196827587,0.159065261,0.427619499,0.482984716,0.068076029,0.407525779,0.063274772,0.43956302,0.288032185,0.190826785,0.294053405,0.196570075,0.134633093,0.173763706,0.388558175,0.192007841,0.20423288,0.078995925,0.364079849,0.529256029,0.043265063,0.306253859
M15_P58.rtf,-0.011168915,0.067951975,0.042607778,0.196398783,0.056368037,0.073942287,0.052055525,0.111887229,0.131089499,0.157994627,0.001235744,0.040573169,0.06400682,-0.00866285,-0.006416033,0.050307593,0.055256987,0.05930926,0.109246119,0.024333054,0.194664762,0.117336084,0.109587366,0.01932138,0.021569087,0.025350305,0.057257815,0.058799166,0.032440808,0.030862499,0.011370927,0.220590052,0.096622376,0.152320329,0.056220629,0.040429613,-0.010069433,-0.048653314,0.039337793,0.04352853,0.059581613,0.02744859,0.048790139,0.161355531,0.042286641,-0.027252493
M16_P66.rtf,0.616192714,0.17050897,0.36214039,0.432918997,0.228831362,0.127614738,0.006367744,0.450062832,0.64512879,0.48357311,0.056988845,0.078648454,0.528126292,0.206287604,0.407918344,0.264463482,0.027470802,0.269741424,0.09903727,0.074065855,0.742352982,0.1974095,0.472191936,0.085121255,0.295139604,0.28207169,0.622330189,0.382529921,0.220211135,0.418719952,0.294922971,0.490877334,0.122267659,0.114258118,0.559513186,-0.016342808,0.304428631,0.253906905,0.587915466,0.098659419,0.221177683,0.078041091,0.329850776,0.350321784,0.035666594,0.228959087
M17_P73.rtf,0.195863679,0.158223451,0.091310384,0.240292031,0.217649934,0.176091982,0.012352752,0.36426681,0.380299551,0.53271524,0.207688534,0.076215137,0.213656673,0.289467471,0.259103427,0.05970729,0.113198715,0.223294724,0.121064074,0.065854482,0.503789923,0.200047657,0.13123851,0.324099565,0.251398226,0.107462443,0.231853641,0.268007323,0.480934569,0.268620679,0.149696915,0.398988262,0.234778024,0.131093365,0.210817905,0.113512211,0.379028076,0.269760629,0.408528731,0.076908208,0.236993924,0.050855341,0.442474445,0.2846698,0.065438202,0.326139069
M18_P74.rtf,0.259703978,0.018042048,0.193167629,0.265367314,-0.040448129,0.090379366,0.161243889,0.579557397,0.351352025,0.242050223,0.21064623,0.16434276,0.079978309,-0.009774239,0.116012239,0.164179737,0.055056924,0.245434892,0.026618123,-0.077044988,0.455260803,0.196044495,0.224338031,0.081477128,0.177480343,-0.184123844,0.320355201,0.248161536,0.072365205,0.34994501,0.069368543,0.346796676,0.467076418,-0.138765633,0.369869993,0.163663543,0.173094629,0.092980875,0.542882372,0.30510332,0.010651903,0.086509092,0.369517119,0.267416087,0.01483003,0.258154327
M19_P76.rtf,0.051341155,0.058837351,0.092503727,0.057065027,0.071781076,0.009609158,0.051782156,-0.007133416,0.153969572,-0.010529318,0.052312625,0.052828004,0.102159595,0.014296548,0.022976043,0.036226844,0.049889582,0.168011667,0.057428072,0.037746329,0.068742745,0.063337471,0.050123804,0.051348146,0.030827087,0.008171832,0.090270565,0.098750663,0.040067774,0.012563611,0.073151412,0.055179003,0.155582061,0.04971684,0.02832733,0.017180393,0.040506413,0.071576521,0.071697692,0.07896994,0.063438683,0.036567049,0.092802257,0.009473992,0.022394762,0.038644309
M20_P77.rtf,0.144826255,0.023988,0.080784768,0.041079969,0.071041446,0.00853709,0.055848792,0.073813513,0.048967614,0.05474937,0.175982148,-0.008573479,0.048079231,0.183007012,0.222261452,0.053328897,0.005565579,0.150585533,0.048625282,0.038414697,0.255056052,0.162955123,0.17370606,0.082662947,0.03106483,0.093898455,0.099907276,0.06475973,0.057760821,0.068206764,0.011261429,0.055389223,0.000749494,0.054201793,0.31034753,0.001179301,0.046419305,-0.005518889,0.044123001,0.033566161,0.006854399,0.026631811,0.109152453,0.1372054,-0.002415443,0.177739574
M21_P78.rtf,-0.137941869,0.124098763,0.114912799,0.218627653,0.008199828,0.078348392,0.06094122,0.378040338,0.112288946,0.477383728,0.21500604,0.111242151,0.074839584,0.256170654,0.278323972,-0.029266665,0.115024979,0.036837929,0.121940712,0.107077461,0.3239592,0.162214377,-0.029242179,0.208223168,0.195923414,0.083923127,0.061760022,0.094303319,0.144577642,0.265901116,0.219543729,0.259313425,0.232105696,0.158149646,0.044417049,0.264081045,0.30097858,0.171012677,0.099317738,0.032524422,0.061193634,0.044293037,0.290316519,0.178534942,0.158245623,0.341088879
M22_P79.rtf,0.044731276,0.096734048,0.002876074,0.182045384,0.119579339,0.009879902,0.008009284,0.236180213,0.125046469,-0.057785617,0.157293556,0.093994137,0.023185157,-0.01307173,0.069775104,0.05410802,0.054786534,0.057254166,0.022135286,0.078023013,0.367921394,0.058424203,0.028349717,0.075189766,-0.022773752,0.096399489,0.483707485,0.118772834,0.069100891,0.266026668,0.04326911,0.174222792,-0.002042206,0.153750392,0.343165073,0.025773501,0.079675063,0.091363924,0.069429461,0.183436463,-0.031073983,0.061322944,0.11694663,0.112824549,0.056543015,0.101627728
M23_P80.rtf,0.294378629,0.249940899,0.101896041,0.277261311,0.254875685,0.119561533,0.103397337,0.177606491,0.305857552,0.141678922,0.348080658,0.329694042,0.159411572,0.295462587,0.143344804,0.084125301,0.043569866,0.359298203,0.020053983,0.025324847,0.276281239,0.101705457,0.461181212,-0.009726742,0.276808687,0.426776276,0.115981225,0.324078387,0.052121765,-0.016364767,0.077678239,0.326772264,0.404712269,-0.062266084,0.259154913,-0.001834743,0.314639447,0.537433888,0.310815158,0.011200502,-0.09765452,0.022981028,0.080973902,0.111963771,0.148611231,-0.169075485
M24_P81.rtf,0.038080319,0.04703977,-0.015768786,0.182643588,0.100165508,0.893880486,0.009446667,0.260792019,0.166640322,0.252801057,0.515655093,0.067067829,0.04293449,0.194527675,0.045720632,0.04855993,0.047883831,0.112409768,0.05597129,0.055974132,0.183453145,0.035241005,0.130235225,0.066527296,0.236239835,0.062090279,0.070752961,0.248921573,0.08432156,0.123489825,0.053824772,0.177339074,0.045997819,-0.002687527,0.143046896,0.112553554,0.059363995,0.087463586,0.126892944,0.095507126,0.251645479,0.013188316,0.160137784,0.204421066,0.17135475,0.049283366
M25_P82.rtf,0.055060091,0.00542114,0.41486787,0.16703678,0.22590689,0.333117168,0.148333941,0.452856429,0.447294625,0.470073232,0.26052908,0.15900539,0.292031667,0.484179898,0.39002437,-0.171796906,0.194123818,0.250098789,0.085808022,0.312352785,0.069463291,0.258028285,0.19485245,0.164358112,0.427457018,0.148766193,0.003070694,0.233795074,-0.0142193,0.014278632,0.181530863,0.362845635,0.169254215,0.322519896,0.299360803,-0.009665471,-0.114060936,0.064976635,0.393706265,0.379030992,0.175542176,0.051015114,0.275655725,0.393012647,-0.070497648,0.330667314
M26_P83.rtf,0.227340514,0.189374152,0.31366614,0.340729258,0.302760813,0.236505505,0.162078682,0.356133931,0.254708608,0.44538912,0.255214237,0.434281167,0.338049874,0.285802511,0.31825802,0.153796063,0.273099554,0.459141706,0.272789589,0.338526236,0.404789948,0.285788929,0.347643444,0.360216732,0.36297442,0.323754663,0.284682072,0.487630897,0.324777591,0.402726705,0.322190258,0.47581858,0.499979101,0.192502523,0.147556426,0.251532524,0.20577991,0.36743485,0.398545106,0.279945145,0.145801665,0.101742833,0.610989265,0.441791113,0.005431777,0.33633867
M27_P84.rtf,0.179117695,0.172029363,0.36045468,0.393878258,0.162243026,0.131117954,0.086016138,0.5470295,0.499159362,0.463421089,0.411862798,0.024759105,0.50876451,0.397631679,0.594935763,0.076905973,0.437110156,0.152258531,0.300355438,-0.044808443,0.504138345,0.222340447,0.358797938,0.223580353,0.402730854,0.209277771,0.413475217,0.386458988,0.111757991,0.384417088,0.037834259,0.460003243,0.287246818,0.1548301,0.415371969,0.211274129,0.239911275,0.23710658,0.502851381,0.22718128,0.362656188,0.113034362,0.324160108,0.425731217,0.026553282,0.559581386
M28_P86.rtf,0.107239878,0.022424079,0.074477701,0.153015828,0.008270833,0.052148965,0.10252826,0.130681471,0.215948181,0.035450227,0.482411587,0.017612419,0.209623941,0.390866402,0.23471313,0.026657442,0.084112349,0.075937244,0.044888778,0.047639868,0.00305885,0.093840054,0.052912365,0.184555204,0.08580786,0.018600372,0.178890622,0.244413327,0.061976198,-0.112957779,0.072960169,0.238561632,0.048629222,0.029495029,0.1380921,0.050800202,0.138174878,0.192414329,0.168766991,0.02961217,0.099681526,0.02704557,0.017851578,0.187953042,0.029026275,0.040457963
M29_P87.rtf,-0.025657226,0.045377009,0.154128055,-0.005348972,0.173723296,0.088557852,0.09829336,0.073278148,-0.036535544,0.091055644,0.185744806,0.057232242,0.356009895,0.003203807,0.341759104,0.022481934,0.016624387,0.003460994,0.058152013,0.151626064,0.101194008,0.080105682,0.209462517,0.076986046,0.166079896,0.01144771,0.120968396,0.00689328,0.096983578,0.211205211,0.092553953,-0.023761001,0.113784353,0.026866858,0.062204841,0.061450847,0.064725803,0.03657796,0.000616454,0.006023156,0.115464817,0.026042294,0.099023947,0.175936444,0.099081846,0.252990707
M30_P88.rtf,0.014022026,0.335907328,0.00560996,0.040006926,0.253430636,0.091204758,0.113123587,0.527673026,0.44914949,0.388263909,0.080615194,0.160676961,0.224568223,0.159006054,0.190093341,-0.0520851,-0.020780484,0.325697513,0.063218979,-0.016388941,0.343877501,0.273031703,0.214008998,0.251419473,0.083098795,0.214750659,0.333387257,0.40853122,-0.016342328,0.327159814,0.14080313,0.288707987,0.336906331,0.125373402,0.123080347,-0.026881728,0.285193524,0.230563597,0.547462571,0.408805071,0.40785606,0.129846718,0.216025557,0.161656861,-0.053365573,0.538683543
M31_P89.rtf,0.427535792,0.236402551,0.424364007,0.339832588,0.373790431,0.124825038,0.308657133,0.427050929,0.482287293,0.441896164,0.172365962,0.353396379,0.629757878,0.293844168,0.383414022,0.088255828,0.215571425,0.350194637,0.32270372,0.212170327,0.518553359,0.429014669,0.453183992,0.383352357,0.311212067,0.378027415,0.420903423,0.476874969,0.255546651,0.660617053,0.255613106,0.494124712,0.497025555,0.055943005,0.406305441,0.175783164,0.220364541,0.259218719,0.579006762,0.258726122,0.328882651,0.166974252,0.470326598,0.399576665,0.020843089,0.356868387
M32_P90.rtf,0.500798645,0.000517543,-0.030897124,0.18539314,0.178222607,0.097063783,0.009824838,0.254555476,0.414444557,0.350021979,0.256365113,0.222849656,0.308298021,0.086412887,0.083398425,-0.054323235,0.07596102,0.310608373,0.063469574,0.082405394,0.487055881,0.298979867,0.596283048,0.047697615,0.051712964,0.171431343,0.282150505,0.433111973,0.01600033,0.453259452,0.056615912,0.307963326,0.344738905,0.364174124,0.080810066,0.03383889,0.60193072,0.211886247,0.359347914,0.082841303,0.206047881,0.013954155,0.340402279,0.154190442,0.13358852,0.292935872
M33_P91.rtf,0.340705272,-0.072133049,0.1235073,0.569484605,0.233640208,-0.002868617,0.095690863,0.133461134,0.356728537,0.11613803,0.230024807,0.058907079,0.178498953,0.203295279,0.076338704,0.101065515,8.60E-05,0.072763314,0.129615815,0.010352295,0.310259526,0.104181157,0.118188676,-0.039964351,0.532648662,0.094618104,0.264043289,0.014968653,0.049054688,0.318893879,0.063039896,0.247285371,0.043311984,0.024128986,0.383921479,0.124676003,0.183421844,0.127889661,0.186542057,0.063524598,0.114764045,0.069572545,0.039886955,0.562603523,0.049359549,0.001789554
M34_P92.rtf,0.156072507,-0.027006742,0.313535436,0.300826668,-0.057204864,0.049010509,0.172803699,0.351201551,0.121289172,0.1964513,0.148400198,0.228385182,0.238911805,0.078916231,0.270284607,0.412834438,0.079223071,0.240099,0.109950877,0.160529212,0.351792439,0.075029245,0.071774228,0.338842056,0.260676404,-0.033975431,0.382229224,0.320998672,-0.003015389,0.407929617,0.100319464,0.235885448,0.382405213,0.014342144,0.279885136,0.010521996,0.140760142,0.086852058,0.326864307,0.355756684,0.142264645,0.054692692,0.396511388,0.449475962,0.039844445,0.361732889
M35_P93.rtf,0.035397684,0.017150837,0.107687553,0.044790056,0.016816925,0.014189219,0.043506121,0.094789974,0.093064551,0.155876712,0.113032416,0.068585279,0.079645656,0.035254765,0.105936026,0.014844662,0.035662195,0.128919952,0.062633461,0.040077254,0.039806838,0.020899376,0.108931854,0.084008332,0.037008622,0.070215411,0.056535778,0.140926092,0.062613348,0.051483793,0.057594109,0.163098426,0.08290123,0.039087229,0.14340215,0.054907135,0.148190623,0.180876305,0.132028012,0.055241065,0.039204629,0.042061631,0.144682873,0.106603314,0.050885191,0.066221073
M36_P94.rtf,0.040058904,0.011008269,0.205241845,0.28623792,0.018553393,0.055535243,0.030438837,0.108950597,0.137799049,0.376485289,-0.021935831,0.062275345,0.15107275,0.188493996,0.157701445,0.088306764,0.06415229,0.077829725,0.024862463,0.011044368,0.108102983,-0.044110729,0.147983706,-0.004100829,-0.041480192,0.123076774,0.286021999,0.087803907,0.024020993,-0.066566548,0.001820319,0.178728297,-0.049914181,0.005341272,0.218232405,0.043880023,0.273902754,0.242083223,0.060512478,0.042850681,0.025067031,0.054236025,0.054223471,0.031677927,0.011934159,0.014013347
M37_P96.rtf,0.11481957,0.079170616,-0.035774598,0.045037654,0.103090011,0.101457743,0.084312366,0.054459697,0.249638024,0.016815614,-0.094202956,0.063334559,0.180747931,0.006335383,0.204508869,-0.004449718,0.037835463,0.003755094,0.161325097,0.117371904,0.216310082,0.058423203,0.298640551,0.05751314,0.052752444,-0.020785928,0.258296352,0.460775458,0.025330817,0.111786439,0.044619247,0.054867645,0.211317317,0.107691755,0.178991426,0.091878801,0.086482265,0.014402711,0.125610384,0.225805759,0.091776937,0.122552784,0.486999078,0.40811129,0.031358123,0.120414211
M38_P97.rtf,0.657516482,0.147519393,0.379817944,0.63502367,0.131329586,0.098087703,0.123295025,0.44195772,0.641034731,0.358875639,0.070385831,0.11373025,0.5378822,0.217360357,0.338766338,0.254612669,0.12870032,0.131019568,0.102266444,0.093701707,0.608207087,0.390093002,0.350776583,0.129036293,0.16678224,0.241274124,0.714226357,0.205748919,0.066350499,0.439320216,0.179439036,0.565335343,0.016721811,-0.139278186,0.656237744,0.232219832,0.207926156,0.265793575,0.574578434,-0.048017071,0.225211266,0.07227695,0.227546285,0.420322431,0.124641193,0.062042337
M39_P98.rtf,0.072929391,-0.026654075,0.098680742,0.116997772,0.078763799,0.038623464,0.040431745,0.148675987,0.345736825,0.126271355,0.007858083,0.04897104,0.131529959,0.024727517,0.216622526,0.207123942,0.063967963,0.029953125,0.072990099,0.016193168,0.322933471,0.01456298,0.112553119,0.038017873,0.154590674,0.099614075,0.177838062,0.090966597,0.038020585,-0.055202137,0.016258412,0.301694477,0.071091066,0.05209286,0.356807304,0.105449828,0.110597361,0.461679284,0.326056685,-0.001698227,0.003618087,0.051591422,0.10035208,0.095713456,0.039534529,0.119623141
M40_P99.rtf,-0.007048006,-0.021640464,0.097499484,0.229496349,0.303925583,0.182240272,0.279797351,0.337245592,0.239604813,0.35290202,0.213812588,0.163875755,0.347732909,0.431362536,0.304935563,-0.036925328,0.100794688,0.442225098,0.061426613,-0.017169811,0.172985464,0.160128733,0.156170295,0.417931362,0.301812841,0.224592621,0.120066808,0.268615815,0.335181696,0.233472859,0.182966445,0.267792366,0.339755835,0.12427172,0.132329176,0.116825624,0.077636756,0.096904377,0.326953295,0.366016389,0.362886251,0.124903999,0.431685042,0.34417368,-0.032440104,0.329992945
M41_P101.rtf,0.046606534,0.18235345,0.337964906,0.492212618,0.315257226,-0.064258228,-0.024744828,0.403482082,0.427374267,0.483115422,-0.011213406,-0.228342202,0.272786656,0.384094034,0.400391142,0.209816813,0.138886682,0.065151661,0.178855643,0.098970422,0.568722557,0.159965891,-0.010342061,0.18302576,0.37539422,0.165172864,0.289450581,0.155651249,0.01175697,0.434839654,0.04705825,0.424746243,0.23128448,-0.021359606,0.400998462,0.194917428,0.256364012,0.137072132,0.382346646,0.089263202,0.005944777,0.052362458,0.138545287,0.455045806,0.014441979,0.21722749
M42_P103.rtf,-0.044781385,0.032873989,-0.007632783,0.121756987,0.246573657,-0.058932309,-0.000596644,0.291684033,0.186005281,0.181624452,0.133914271,0.287634464,0.018725075,0.130919457,0.13546442,-0.020797328,0.070691037,0.133705807,0.077202169,0.055379845,0.077011305,0.210157196,0.09846898,0.027341787,0.122466048,0.093125109,0.35505067,0.141768355,0.072263081,0.19659939,0.039661793,0.391441111,0.025645907,-0.031440999,0.186335004,0.093556899,-0.003455456,0.31473666,0.153853718,0.020170621,0.121419239,0.046505377,0.046763662,0.269957572,0.12996103,0.313966541
M43_P104.rtf,-0.042003788,0.029973986,0.167827712,0.273091911,0.133247414,0.112177131,0.140634012,0.367447484,0.179907288,0.162148453,0.05824057,0.1474137,0.306093365,0.277949098,0.328746302,0.135694593,0.205372206,0.05349323,0.143454182,0.018623604,0.364722394,0.176450122,0.267405221,0.064670293,0.032132367,0.505552646,0.241434815,0.399546727,0.052947515,0.366620533,0.079633162,0.210992493,0.407230378,0.069070475,0.155449649,0.083304596,0.09262916,0.041364071,0.113530208,0.118105652,0.145768178,0.088130044,0.074879188,0.039056211,0.062603442,0.12378744
M44_P105.rtf,0.056933106,0.069091483,0.126998065,0.176218151,-0.092366868,-0.017286232,0.057740351,-0.120810052,0.094738192,-0.106663329,0.178141616,0.080501916,0.23357924,0.059759223,0.153866799,0.026150725,0.079511078,0.107041179,0.036066261,0.116653721,0.093408436,-0.168595455,0.230814326,0.079647587,0.158943779,0.257042469,0.229479373,0.377393481,0.006803318,0.212907696,0.031124122,-0.062344352,0.342515178,0.078242736,-0.008541844,0.066644992,0.104671646,0.02990927,-0.052000484,0.084309637,0.217235833,0.087086818,0.18853723,0.256992415,0.021886485,0.15912874
