first,second,groupauthor,secondauthor,grouptheme,secondtheme,cosine
7,18,1,1,1,1,0.18286179
7,19,1,1,1,1,0.133435655
7,20,1,1,1,1,0.475049773
7,21,1,1,1,1,0.072807842
7,22,1,1,1,1,0.146970153
7,23,1,1,1,1,0.000400561
7,24,1,1,1,1,-0.019282743
7,25,1,1,1,1,0.162289257
7,26,1,1,1,1,0.166765079
7,27,1,1,1,1,0.424490127
7,28,1,1,1,1,0.076537256
7,29,1,1,1,1,0.047539344
7,30,1,1,1,1,0.099489279
7,31,1,1,1,1,0.145070921
7,32,1,1,1,1,0.321195095
7,33,1,1,1,1,0.061241353
7,34,1,1,1,1,0.154308218
7,35,1,1,1,1,0.136773481
7,36,1,1,1,1,0.30429217
7,37,1,1,1,1,0.1614625
7,38,1,1,1,1,0.439156755
7,39,1,1,1,1,0.384732784
7,40,1,2,1,2,0.136871895
7,41,1,2,1,2,0.174578712
7,42,1,2,1,2,0.188886227
7,43,1,2,1,2,0.180943023
7,44,1,2,1,2,0.091741237
7,45,1,2,1,2,0.12876543
7,46,1,2,1,2,0.175672457
7,47,1,2,1,2,0.117776673
7,48,1,2,1,2,0.183088549
7,49,1,2,1,2,0.19048091
7,50,1,2,1,2,0.208174207
7,51,1,2,1,2,0.135870011
7,52,1,2,1,2,0.187565123
7,53,1,2,1,2,0.19400042
7,54,1,2,1,2,0.242151772
7,55,1,2,1,2,0.324786992
7,56,1,3,1,2,0.235528572
7,57,1,3,1,2,0.180788515
7,58,1,3,1,2,0.175207388
7,59,1,3,1,2,0.110796286
7,60,1,3,1,2,0.180644871
7,61,1,3,1,2,0.044884247
7,62,1,3,1,2,0.264300502
7,63,1,3,1,2,0.066035623
7,64,1,3,1,2,0.15530768
7,65,1,3,1,2,0.168488985
7,66,1,3,1,2,0.152757806
8,9,1,1,1,1,0.276149276
8,10,1,1,1,1,0.166487959
8,11,1,1,1,1,0.260624892
8,12,1,1,1,1,0.246578768
8,13,1,1,1,1,0.073564967
8,14,1,1,1,1,0.05001656
8,15,1,1,1,1,0.202825712
8,16,1,1,1,1,-0.09616381
8,17,1,1,1,1,0.285510987
8,18,1,1,1,1,0.486840121
8,19,1,1,1,1,0.217961197
8,20,1,1,1,1,0.46594297
8,21,1,1,1,1,0.063946128
8,22,1,1,1,1,0.233816021
8,23,1,1,1,1,0.263651562
8,24,1,1,1,1,0.15897518
8,25,1,1,1,1,0.11399779
8,26,1,1,1,1,0.014914784
8,27,1,1,1,1,0.20371409
8,28,1,1,1,1,0.125806867
8,29,1,1,1,1,0.266108225
8,30,1,1,1,1,0.134824409
8,31,1,1,1,1,0.404669689
8,32,1,1,1,1,-0.265288353
8,33,1,1,1,1,0.275967458
8,34,1,1,1,1,-0.035626795
8,35,1,1,1,1,0.246113798
8,36,1,1,1,1,0.088262313
8,37,1,1,1,1,0.163269119
8,38,1,1,1,1,0.156734952
8,39,1,1,1,1,0.163347967
8,40,1,2,1,2,0.06335884
8,41,1,2,1,2,0.154640851
8,42,1,2,1,2,0.264871165
8,43,1,2,1,2,0.18317894
8,44,1,2,1,2,0.108362391
8,45,1,2,1,2,0.201170511
8,46,1,2,1,2,0.327580275
8,47,1,2,1,2,0.004491807
8,48,1,2,1,2,0.186389747
8,49,1,2,1,2,0.414181159
8,50,1,2,1,2,0.230431106
8,51,1,2,1,2,0.088351173
8,52,1,2,1,2,0.291170175
8,53,1,2,1,2,0.240656342
8,54,1,2,1,2,0.121121574
8,55,1,2,1,2,0.148805136
