comparison,male_partno,fem_partno,cosine,male_openness,male_extraversion,male_agreeableness,male_conscientiousness,male_emo_stab,fem_openness,fem_extraversion,fem_agreeableness,fem_conscientiousness,fem_emo_stab
40,99,1,-0.007048006,34,45,32,34,28,40,46,44,38,35
41,101,1,0.046606534,34,40,42,33,40,40,46,44,38,35
42,103,1,-0.044781385,33,36,30,32,25,40,46,44,38,35
43,104,1,-0.042003788,35,44,40,41,35,40,46,44,38,35
44,105,1,0.056933106,30,37,44,35,36,40,46,44,38,35
45,2,3,0.039494011,30,33,41,43,22,43,47,34,49,20
46,7,3,0.025528314,40,27,32,25,15,43,47,34,49,20
47,12,3,0.083935595,39,33,31,30,30,43,47,34,49,20
48,15,3,-0.01154922,39,35,31,39,43,43,47,34,49,20
49,21,3,0.047855721,42,44,44,49,22,43,47,34,49,20
50,24,3,0.049069289,37,37,31,31,32,43,47,34,49,20
51,25,3,0.178964801,41,43,43,43,47,43,47,34,49,20
52,30,3,0.107988477,29,39,39,37,34,43,47,34,49,20
53,33,3,-0.067823091,34,36,33,40,28,43,47,34,49,20
54,34,3,0.051110003,39,28,34,39,33,43,47,34,49,20
55,35,3,0.302893232,42,41,32,41,34,43,47,34,49,20
56,37,3,0.080619613,35,39,35,41,34,43,47,34,49,20
57,38,3,0.039145825,32,26,33,30,28,43,47,34,49,20
58,50,3,0.191183866,48,28,43,36,25,43,47,34,49,20
59,58,3,0.067951975,31,36,36,33,27,43,47,34,49,20
60,66,3,0.17050897,34,29,35,38,35,43,47,34,49,20
61,73,3,0.158223451,34,45,32,32,25,43,47,34,49,20
62,74,3,0.018042048,44,36,39,29,22,43,47,34,49,20
63,76,3,0.058837351,37,31,24,24,31,43,47,34,49,20
64,77,3,0.023988,36,50,34,30,33,43,47,34,49,20
65,78,3,0.124098763,44,21,32,22,18,43,47,34,49,20
66,79,3,0.096734048,47,25,37,28,22,43,47,34,49,20
67,80,3,0.249940899,41,46,41,39,44,43,47,34,49,20
68,81,3,0.04703977,41,46,36,33,38,43,47,34,49,20
69,82,3,0.00542114,47,46,47,42,42,43,47,34,49,20
70,83,3,0.189374152,39,42,45,33,41,43,47,34,49,20
71,84,3,0.172029363,46,47,37,34,43,43,47,34,49,20
72,86,3,0.022424079,35,44,35,35,33,43,47,34,49,20
73,87,3,0.045377009,36,40,37,36,29,43,47,34,49,20
74,88,3,0.335907328,24,47,32,36,46,43,47,34,49,20
75,89,3,0.236402551,36,37,28,32,32,43,47,34,49,20
76,90,3,0.000517543,23,35,38,38,32,43,47,34,49,20
77,91,3,-0.072133049,25,42,34,46,45,43,47,34,49,20
78,92,3,-0.027006742,48,46,36,44,37,43,47,34,49,20
79,93,3,0.017150837,35,24,37,22,33,43,47,34,49,20
80,94,3,0.011008269,41,33,28,39,42,43,47,34,49,20
81,96,3,0.079170616,33,41,33,39,35,43,47,34,49,20
82,97,3,0.147519393,42,44,38,26,29,43,47,34,49,20
83,98,3,-0.026654075,46,22,34,40,26,43,47,34,49,20
84,99,3,-0.021640464,34,45,32,34,28,43,47,34,49,20
85,101,3,0.18235345,34,40,42,33,40,43,47,34,49,20
86,103,3,0.032873989,33,36,30,32,25,43,47,34,49,20
87,104,3,0.029973986,35,44,40,41,35,43,47,34,49,20
88,105,3,0.069091483,30,37,44,35,36,43,47,34,49,20
89,2,4,-0.043019706,30,33,41,43,22,26,47,42,42,27
90,7,4,0.110479829,40,27,32,25,15,26,47,42,42,27
91,12,4,0.384360995,39,33,31,30,30,26,47,42,42,27
92,15,4,0.25378877,39,35,31,39,43,26,47,42,42,27
93,21,4,0.030430733,42,44,44,49,22,26,47,42,42,27
94,24,4,0.00411818,37,37,31,31,32,26,47,42,42,27
95,25,4,0.38135926,41,43,43,43,47,26,47,42,42,27
96,30,4,-0.061616486,29,39,39,37,34,26,47,42,42,27
97,33,4,0.260937796,34,36,33,40,28,26,47,42,42,27
98,34,4,0.035013161,39,28,34,39,33,26,47,42,42,27
99,35,4,0.311403438,42,41,32,41,34,26,47,42,42,27
100,37,4,0.425157722,35,39,35,41,34,26,47,42,42,27
101,38,4,0.123742796,32,26,33,30,28,26,47,42,42,27
102,50,4,0.21596484,48,28,43,36,25,26,47,42,42,27
103,58,4,0.042607778,31,36,36,33,27,26,47,42,42,27
104,66,4,0.36214039,34,29,35,38,35,26,47,42,42,27
105,73,4,0.091310384,34,45,32,32,25,26,47,42,42,27
106,74,4,0.193167629,44,36,39,29,22,26,47,42,42,27
107,76,4,0.092503727,37,31,24,24,31,26,47,42,42,27
108,77,4,0.080784768,36,50,34,30,33,26,47,42,42,27
109,78,4,0.114912799,44,21,32,22,18,26,47,42,42,27
110,79,4,0.002876074,47,25,37,28,22,26,47,42,42,27
111,80,4,0.101896041,41,46,41,39,44,26,47,42,42,27
112,81,4,-0.015768786,41,46,36,33,38,26,47,42,42,27
113,82,4,0.41486787,47,46,47,42,42,26,47,42,42,27
114,83,4,0.31366614,39,42,45,33,41,26,47,42,42,27
115,84,4,0.36045468,46,47,37,34,43,26,47,42,42,27
116,86,4,0.074477701,35,44,35,35,33,26,47,42,42,27
117,87,4,0.154128055,36,40,37,36,29,26,47,42,42,27
118,88,4,0.00560996,24,47,32,36,46,26,47,42,42,27
119,89,4,0.424364007,36,37,28,32,32,26,47,42,42,27
120,90,4,-0.030897124,23,35,38,38,32,26,47,42,42,27
121,91,4,0.1235073,25,42,34,46,45,26,47,42,42,27
122,92,4,0.313535436,48,46,36,44,37,26,47,42,42,27
123,93,4,0.107687553,35,24,37,22,33,26,47,42,42,27
124,94,4,0.205241845,41,33,28,39,42,26,47,42,42,27
125,96,4,-0.035774598,33,41,33,39,35,26,47,42,42,27
126,97,4,0.379817944,42,44,38,26,29,26,47,42,42,27
127,98,4,0.098680742,46,22,34,40,26,26,47,42,42,27
128,99,4,0.097499484,34,45,32,34,28,26,47,42,42,27
129,101,4,0.337964906,34,40,42,33,40,26,47,42,42,27
130,103,4,-0.007632783,33,36,30,32,25,26,47,42,42,27
131,104,4,0.167827712,35,44,40,41,35,26,47,42,42,27
132,105,4,0.126998065,30,37,44,35,36,26,47,42,42,27
133,2,5,0.236013575,30,33,41,43,22,26,46,35,32,19
134,7,5,0.068748073,40,27,32,25,15,26,46,35,32,19
135,12,5,0.383336369,39,33,31,30,30,26,46,35,32,19
136,15,5,0.020241466,39,35,31,39,43,26,46,35,32,19
137,21,5,0.072650157,42,44,44,49,22,26,46,35,32,19
138,24,5,0.105794051,37,37,31,31,32,26,46,35,32,19
139,25,5,0.337171136,41,43,43,43,47,26,46,35,32,19
140,30,5,0.131815171,29,39,39,37,34,26,46,35,32,19
141,33,5,0.208842293,34,36,33,40,28,26,46,35,32,19
142,34,5,0.266721597,39,28,34,39,33,26,46,35,32,19
143,35,5,0.367998547,42,41,32,41,34,26,46,35,32,19
144,37,5,0.246743955,35,39,35,41,34,26,46,35,32,19
145,38,5,0.071153371,32,26,33,30,28,26,46,35,32,19
146,50,5,0.457458149,48,28,43,36,25,26,46,35,32,19
147,58,5,0.196398783,31,36,36,33,27,26,46,35,32,19
148,66,5,0.432918997,34,29,35,38,35,26,46,35,32,19
149,73,5,0.240292031,34,45,32,32,25,26,46,35,32,19
150,74,5,0.265367314,44,36,39,29,22,26,46,35,32,19
151,76,5,0.057065027,37,31,24,24,31,26,46,35,32,19
152,77,5,0.041079969,36,50,34,30,33,26,46,35,32,19
153,78,5,0.218627653,44,21,32,22,18,26,46,35,32,19
154,79,5,0.182045384,47,25,37,28,22,26,46,35,32,19
155,80,5,0.277261311,41,46,41,39,44,26,46,35,32,19
156,81,5,0.182643588,41,46,36,33,38,26,46,35,32,19
157,82,5,0.16703678,47,46,47,42,42,26,46,35,32,19
158,83,5,0.340729258,39,42,45,33,41,26,46,35,32,19
159,84,5,0.393878258,46,47,37,34,43,26,46,35,32,19
160,86,5,0.153015828,35,44,35,35,33,26,46,35,32,19
161,87,5,-0.005348972,36,40,37,36,29,26,46,35,32,19
162,88,5,0.040006926,24,47,32,36,46,26,46,35,32,19
163,89,5,0.339832588,36,37,28,32,32,26,46,35,32,19
164,90,5,0.18539314,23,35,38,38,32,26,46,35,32,19
165,91,5,0.569484605,25,42,34,46,45,26,46,35,32,19
166,92,5,0.300826668,48,46,36,44,37,26,46,35,32,19
167,93,5,0.044790056,35,24,37,22,33,26,46,35,32,19
168,94,5,0.28623792,41,33,28,39,42,26,46,35,32,19
169,96,5,0.045037654,33,41,33,39,35,26,46,35,32,19
170,97,5,0.63502367,42,44,38,26,29,26,46,35,32,19
171,98,5,0.116997772,46,22,34,40,26,26,46,35,32,19
172,99,5,0.229496349,34,45,32,34,28,26,46,35,32,19
173,101,5,0.492212618,34,40,42,33,40,26,46,35,32,19
174,103,5,0.121756987,33,36,30,32,25,26,46,35,32,19
175,104,5,0.273091911,35,44,40,41,35,26,46,35,32,19
176,105,5,0.176218151,30,37,44,35,36,26,46,35,32,19
177,2,6,-0.010594486,30,33,41,43,22,41,45,36,35,24
178,7,6,0.124260212,40,27,32,25,15,41,45,36,35,24
179,12,6,0.145775799,39,33,31,30,30,41,45,36,35,24
180,15,6,0.094770387,39,35,31,39,43,41,45,36,35,24
181,21,6,0.059153578,42,44,44,49,22,41,45,36,35,24
182,24,6,0.103457049,37,37,31,31,32,41,45,36,35,24
183,25,6,0.37648299,41,43,43,43,47,41,45,36,35,24
184,30,6,0.004892549,29,39,39,37,34,41,45,36,35,24
185,33,6,-0.043604745,34,36,33,40,28,41,45,36,35,24
186,34,6,0.305864755,39,28,34,39,33,41,45,36,35,24
187,35,6,0.174929859,42,41,32,41,34,41,45,36,35,24
188,37,6,-0.136924433,35,39,35,41,34,41,45,36,35,24
189,38,6,0.097904887,32,26,33,30,28,41,45,36,35,24
190,50,6,0.224715822,48,28,43,36,25,41,45,36,35,24
191,58,6,0.056368037,31,36,36,33,27,41,45,36,35,24
192,66,6,0.228831362,34,29,35,38,35,41,45,36,35,24
193,73,6,0.217649934,34,45,32,32,25,41,45,36,35,24
194,74,6,-0.040448129,44,36,39,29,22,41,45,36,35,24
195,76,6,0.071781076,37,31,24,24,31,41,45,36,35,24
196,77,6,0.071041446,36,50,34,30,33,41,45,36,35,24
197,78,6,0.008199828,44,21,32,22,18,41,45,36,35,24
198,79,6,0.119579339,47,25,37,28,22,41,45,36,35,24
199,80,6,0.254875685,41,46,41,39,44,41,45,36,35,24
200,81,6,0.100165508,41,46,36,33,38,41,45,36,35,24
201,82,6,0.22590689,47,46,47,42,42,41,45,36,35,24
202,83,6,0.302760813,39,42,45,33,41,41,45,36,35,24
203,84,6,0.162243026,46,47,37,34,43,41,45,36,35,24
204,86,6,0.008270833,35,44,35,35,33,41,45,36,35,24
205,87,6,0.173723296,36,40,37,36,29,41,45,36,35,24
206,88,6,0.253430636,24,47,32,36,46,41,45,36,35,24
207,89,6,0.373790431,36,37,28,32,32,41,45,36,35,24
208,90,6,0.178222607,23,35,38,38,32,41,45,36,35,24
209,91,6,0.233640208,25,42,34,46,45,41,45,36,35,24
210,92,6,-0.057204864,48,46,36,44,37,41,45,36,35,24
211,93,6,0.016816925,35,24,37,22,33,41,45,36,35,24
212,94,6,0.018553393,41,33,28,39,42,41,45,36,35,24
213,96,6,0.103090011,33,41,33,39,35,41,45,36,35,24
214,97,6,0.131329586,42,44,38,26,29,41,45,36,35,24
215,98,6,0.078763799,46,22,34,40,26,41,45,36,35,24
216,99,6,0.303925583,34,45,32,34,28,41,45,36,35,24
217,101,6,0.315257226,34,40,42,33,40,41,45,36,35,24
218,103,6,0.246573657,33,36,30,32,25,41,45,36,35,24
219,104,6,0.133247414,35,44,40,41,35,41,45,36,35,24
220,105,6,-0.092366868,30,37,44,35,36,41,45,36,35,24
221,2,9,0.007585974,30,33,41,43,22,38,49,45,43,34
222,7,9,0.103187034,40,27,32,25,15,38,49,45,43,34
223,12,9,0.07472234,39,33,31,30,30,38,49,45,43,34
224,15,9,0.116809509,39,35,31,39,43,38,49,45,43,34
225,21,9,0.008095565,42,44,44,49,22,38,49,45,43,34
226,24,9,0.04760196,37,37,31,31,32,38,49,45,43,34
227,25,9,0.092886211,41,43,43,43,47,38,49,45,43,34
228,30,9,0.07028417,29,39,39,37,34,38,49,45,43,34
229,33,9,0.088654717,34,36,33,40,28,38,49,45,43,34
230,34,9,-0.009474317,39,28,34,39,33,38,49,45,43,34
231,35,9,-0.04332753,42,41,32,41,34,38,49,45,43,34
232,37,9,-0.004181099,35,39,35,41,34,38,49,45,43,34
233,38,9,0.003755647,32,26,33,30,28,38,49,45,43,34
234,50,9,0.019044854,48,28,43,36,25,38,49,45,43,34
235,58,9,0.073942287,31,36,36,33,27,38,49,45,43,34
236,66,9,0.127614738,34,29,35,38,35,38,49,45,43,34
237,73,9,0.176091982,34,45,32,32,25,38,49,45,43,34
238,74,9,0.090379366,44,36,39,29,22,38,49,45,43,34
239,76,9,0.009609158,37,31,24,24,31,38,49,45,43,34
240,77,9,0.00853709,36,50,34,30,33,38,49,45,43,34
241,78,9,0.078348392,44,21,32,22,18,38,49,45,43,34
242,79,9,0.009879902,47,25,37,28,22,38,49,45,43,34
243,80,9,0.119561533,41,46,41,39,44,38,49,45,43,34
244,81,9,0.893880486,41,46,36,33,38,38,49,45,43,34
245,82,9,0.333117168,47,46,47,42,42,38,49,45,43,34
246,83,9,0.236505505,39,42,45,33,41,38,49,45,43,34
247,84,9,0.131117954,46,47,37,34,43,38,49,45,43,34
248,86,9,0.052148965,35,44,35,35,33,38,49,45,43,34
249,87,9,0.088557852,36,40,37,36,29,38,49,45,43,34
250,88,9,0.091204758,24,47,32,36,46,38,49,45,43,34
251,89,9,0.124825038,36,37,28,32,32,38,49,45,43,34
252,90,9,0.097063783,23,35,38,38,32,38,49,45,43,34
253,91,9,-0.002868617,25,42,34,46,45,38,49,45,43,34
254,92,9,0.049010509,48,46,36,44,37,38,49,45,43,34
255,93,9,0.014189219,35,24,37,22,33,38,49,45,43,34
256,94,9,0.055535243,41,33,28,39,42,38,49,45,43,34
257,96,9,0.101457743,33,41,33,39,35,38,49,45,43,34
258,97,9,0.098087703,42,44,38,26,29,38,49,45,43,34
259,98,9,0.038623464,46,22,34,40,26,38,49,45,43,34
260,99,9,0.182240272,34,45,32,34,28,38,49,45,43,34
261,101,9,-0.064258228,34,40,42,33,40,38,49,45,43,34
262,103,9,-0.058932309,33,36,30,32,25,38,49,45,43,34
263,104,9,0.112177131,35,44,40,41,35,38,49,45,43,34
264,105,9,-0.017286232,30,37,44,35,36,38,49,45,43,34
265,2,10,0.063947602,30,33,41,43,22,43,40,40,30,26
266,7,10,0.061086396,40,27,32,25,15,43,40,40,30,26
267,12,10,0.075689261,39,33,31,30,30,43,40,40,30,26
268,15,10,0.10410284,39,35,31,39,43,43,40,40,30,26
269,21,10,0.080515552,42,44,44,49,22,43,40,40,30,26
270,24,10,0.116830144,37,37,31,31,32,43,40,40,30,26
271,25,10,0.25882875,41,43,43,43,47,43,40,40,30,26
272,30,10,0.143106143,29,39,39,37,34,43,40,40,30,26
273,33,10,0.182898001,34,36,33,40,28,43,40,40,30,26
274,34,10,0.114372355,39,28,34,39,33,43,40,40,30,26
275,35,10,-0.014415769,42,41,32,41,34,43,40,40,30,26
276,37,10,0.025520523,35,39,35,41,34,43,40,40,30,26
277,38,10,0.025444601,32,26,33,30,28,43,40,40,30,26
278,50,10,-0.134990921,48,28,43,36,25,43,40,40,30,26
279,58,10,0.052055525,31,36,36,33,27,43,40,40,30,26
280,66,10,0.006367744,34,29,35,38,35,43,40,40,30,26
281,73,10,0.012352752,34,45,32,32,25,43,40,40,30,26
282,74,10,0.161243889,44,36,39,29,22,43,40,40,30,26
283,76,10,0.051782156,37,31,24,24,31,43,40,40,30,26
284,77,10,0.055848792,36,50,34,30,33,43,40,40,30,26
285,78,10,0.06094122,44,21,32,22,18,43,40,40,30,26
286,79,10,0.008009284,47,25,37,28,22,43,40,40,30,26
287,80,10,0.103397337,41,46,41,39,44,43,40,40,30,26
288,81,10,0.009446667,41,46,36,33,38,43,40,40,30,26
289,82,10,0.148333941,47,46,47,42,42,43,40,40,30,26
290,83,10,0.162078682,39,42,45,33,41,43,40,40,30,26
291,84,10,0.086016138,46,47,37,34,43,43,40,40,30,26
292,86,10,0.10252826,35,44,35,35,33,43,40,40,30,26
293,87,10,0.09829336,36,40,37,36,29,43,40,40,30,26
294,88,10,0.113123587,24,47,32,36,46,43,40,40,30,26
295,89,10,0.308657133,36,37,28,32,32,43,40,40,30,26
296,90,10,0.009824838,23,35,38,38,32,43,40,40,30,26
297,91,10,0.095690863,25,42,34,46,45,43,40,40,30,26
298,92,10,0.172803699,48,46,36,44,37,43,40,40,30,26
299,93,10,0.043506121,35,24,37,22,33,43,40,40,30,26
300,94,10,0.030438837,41,33,28,39,42,43,40,40,30,26
301,96,10,0.084312366,33,41,33,39,35,43,40,40,30,26
302,97,10,0.123295025,42,44,38,26,29,43,40,40,30,26
303,98,10,0.040431745,46,22,34,40,26,43,40,40,30,26
304,99,10,0.279797351,34,45,32,34,28,43,40,40,30,26
305,101,10,-0.024744828,34,40,42,33,40,43,40,40,30,26
306,103,10,-0.000596644,33,36,30,32,25,43,40,40,30,26
307,104,10,0.140634012,35,44,40,41,35,43,40,40,30,26
308,105,10,0.057740351,30,37,44,35,36,43,40,40,30,26
309,2,11,0.26671508,30,33,41,43,22,24,45,37,43,40
310,7,11,0.058154218,40,27,32,25,15,24,45,37,43,40
311,12,11,0.49576292,39,33,31,30,30,24,45,37,43,40
312,15,11,0.142592431,39,35,31,39,43,24,45,37,43,40
313,21,11,0.063000044,42,44,44,49,22,24,45,37,43,40
314,24,11,0.19920127,37,37,31,31,32,24,45,37,43,40
315,25,11,0.453518022,41,43,43,43,47,24,45,37,43,40
316,30,11,0.165715434,29,39,39,37,34,24,45,37,43,40
317,33,11,0.47627594,34,36,33,40,28,24,45,37,43,40
318,34,11,0.359848466,39,28,34,39,33,24,45,37,43,40
319,35,11,0.487003205,42,41,32,41,34,24,45,37,43,40
320,37,11,0.468169495,35,39,35,41,34,24,45,37,43,40
321,38,11,0.081344393,32,26,33,30,28,24,45,37,43,40
322,50,11,0.354480044,48,28,43,36,25,24,45,37,43,40
323,58,11,0.111887229,31,36,36,33,27,24,45,37,43,40
324,66,11,0.450062832,34,29,35,38,35,24,45,37,43,40
325,73,11,0.36426681,34,45,32,32,25,24,45,37,43,40
326,74,11,0.579557397,44,36,39,29,22,24,45,37,43,40
327,76,11,-0.007133416,37,31,24,24,31,24,45,37,43,40
328,77,11,0.073813513,36,50,34,30,33,24,45,37,43,40
329,78,11,0.378040338,44,21,32,22,18,24,45,37,43,40
330,79,11,0.236180213,47,25,37,28,22,24,45,37,43,40
331,80,11,0.177606491,41,46,41,39,44,24,45,37,43,40
332,81,11,0.260792019,41,46,36,33,38,24,45,37,43,40
333,82,11,0.452856429,47,46,47,42,42,24,45,37,43,40
334,83,11,0.356133931,39,42,45,33,41,24,45,37,43,40
335,84,11,0.5470295,46,47,37,34,43,24,45,37,43,40
336,86,11,0.130681471,35,44,35,35,33,24,45,37,43,40
337,87,11,0.073278148,36,40,37,36,29,24,45,37,43,40
338,88,11,0.527673026,24,47,32,36,46,24,45,37,43,40
339,89,11,0.427050929,36,37,28,32,32,24,45,37,43,40
340,90,11,0.254555476,23,35,38,38,32,24,45,37,43,40
341,91,11,0.133461134,25,42,34,46,45,24,45,37,43,40
342,92,11,0.351201551,48,46,36,44,37,24,45,37,43,40
343,93,11,0.094789974,35,24,37,22,33,24,45,37,43,40
344,94,11,0.108950597,41,33,28,39,42,24,45,37,43,40
345,96,11,0.054459697,33,41,33,39,35,24,45,37,43,40
346,97,11,0.44195772,42,44,38,26,29,24,45,37,43,40
347,98,11,0.148675987,46,22,34,40,26,24,45,37,43,40
348,99,11,0.337245592,34,45,32,34,28,24,45,37,43,40
349,101,11,0.403482082,34,40,42,33,40,24,45,37,43,40
350,103,11,0.291684033,33,36,30,32,25,24,45,37,43,40
351,104,11,0.367447484,35,44,40,41,35,24,45,37,43,40
352,105,11,-0.120810052,30,37,44,35,36,24,45,37,43,40
353,2,13,0.05753343,30,33,41,43,22,34,41,35,39,30
354,7,13,0.202341401,40,27,32,25,15,34,41,35,39,30
355,12,13,0.671989546,39,33,31,30,30,34,41,35,39,30
356,15,13,0.145419711,39,35,31,39,43,34,41,35,39,30
357,21,13,0.023353901,42,44,44,49,22,34,41,35,39,30
358,24,13,0.083134587,37,37,31,31,32,34,41,35,39,30
359,25,13,0.643020442,41,43,43,43,47,34,41,35,39,30
360,30,13,0.041939533,29,39,39,37,34,34,41,35,39,30
361,33,13,0.294281616,34,36,33,40,28,34,41,35,39,30
362,34,13,0.39829132,39,28,34,39,33,34,41,35,39,30
363,35,13,0.647284401,42,41,32,41,34,34,41,35,39,30
364,37,13,0.564338176,35,39,35,41,34,34,41,35,39,30
365,38,13,0.141160976,32,26,33,30,28,34,41,35,39,30
366,50,13,0.376500053,48,28,43,36,25,34,41,35,39,30
367,58,13,0.131089499,31,36,36,33,27,34,41,35,39,30
368,66,13,0.64512879,34,29,35,38,35,34,41,35,39,30
369,73,13,0.380299551,34,45,32,32,25,34,41,35,39,30
370,74,13,0.351352025,44,36,39,29,22,34,41,35,39,30
371,76,13,0.153969572,37,31,24,24,31,34,41,35,39,30
372,77,13,0.048967614,36,50,34,30,33,34,41,35,39,30
373,78,13,0.112288946,44,21,32,22,18,34,41,35,39,30
374,79,13,0.125046469,47,25,37,28,22,34,41,35,39,30
375,80,13,0.305857552,41,46,41,39,44,34,41,35,39,30
376,81,13,0.166640322,41,46,36,33,38,34,41,35,39,30
377,82,13,0.447294625,47,46,47,42,42,34,41,35,39,30
378,83,13,0.254708608,39,42,45,33,41,34,41,35,39,30
379,84,13,0.499159362,46,47,37,34,43,34,41,35,39,30
380,86,13,0.215948181,35,44,35,35,33,34,41,35,39,30
381,87,13,-0.036535544,36,40,37,36,29,34,41,35,39,30
382,88,13,0.44914949,24,47,32,36,46,34,41,35,39,30
383,89,13,0.482287293,36,37,28,32,32,34,41,35,39,30
384,90,13,0.414444557,23,35,38,38,32,34,41,35,39,30
385,91,13,0.356728537,25,42,34,46,45,34,41,35,39,30
386,92,13,0.121289172,48,46,36,44,37,34,41,35,39,30
387,93,13,0.093064551,35,24,37,22,33,34,41,35,39,30
388,94,13,0.137799049,41,33,28,39,42,34,41,35,39,30
389,96,13,0.249638024,33,41,33,39,35,34,41,35,39,30
390,97,13,0.641034731,42,44,38,26,29,34,41,35,39,30
391,98,13,0.345736825,46,22,34,40,26,34,41,35,39,30
392,99,13,0.239604813,34,45,32,34,28,34,41,35,39,30
393,101,13,0.427374267,34,40,42,33,40,34,41,35,39,30
394,103,13,0.186005281,33,36,30,32,25,34,41,35,39,30
395,104,13,0.179907288,35,44,40,41,35,34,41,35,39,30
396,105,13,0.094738192,30,37,44,35,36,34,41,35,39,30
397,2,14,0.310987073,30,33,41,43,22,40,43,40,38,20
398,7,14,0.141516935,40,27,32,25,15,40,43,40,38,20
399,12,14,0.437511553,39,33,31,30,30,40,43,40,38,20
400,15,14,0.241825697,39,35,31,39,43,40,43,40,38,20
401,21,14,0.121402095,42,44,44,49,22,40,43,40,38,20
402,24,14,-0.005222995,37,37,31,31,32,40,43,40,38,20
403,25,14,0.508105551,41,43,43,43,47,40,43,40,38,20
404,30,14,0.266065741,29,39,39,37,34,40,43,40,38,20
405,33,14,0.316646134,34,36,33,40,28,40,43,40,38,20
406,34,14,0.547260036,39,28,34,39,33,40,43,40,38,20
407,35,14,0.462708719,42,41,32,41,34,40,43,40,38,20
408,37,14,0.347271529,35,39,35,41,34,40,43,40,38,20
409,38,14,0.060001558,32,26,33,30,28,40,43,40,38,20
410,50,14,0.295202786,48,28,43,36,25,40,43,40,38,20
411,58,14,0.157994627,31,36,36,33,27,40,43,40,38,20
412,66,14,0.48357311,34,29,35,38,35,40,43,40,38,20
413,73,14,0.53271524,34,45,32,32,25,40,43,40,38,20
414,74,14,0.242050223,44,36,39,29,22,40,43,40,38,20
415,76,14,-0.010529318,37,31,24,24,31,40,43,40,38,20
416,77,14,0.05474937,36,50,34,30,33,40,43,40,38,20
417,78,14,0.477383728,44,21,32,22,18,40,43,40,38,20
418,79,14,-0.057785617,47,25,37,28,22,40,43,40,38,20
419,80,14,0.141678922,41,46,41,39,44,40,43,40,38,20
420,81,14,0.252801057,41,46,36,33,38,40,43,40,38,20
421,82,14,0.470073232,47,46,47,42,42,40,43,40,38,20
422,83,14,0.44538912,39,42,45,33,41,40,43,40,38,20
423,84,14,0.463421089,46,47,37,34,43,40,43,40,38,20
424,86,14,0.035450227,35,44,35,35,33,40,43,40,38,20
425,87,14,0.091055644,36,40,37,36,29,40,43,40,38,20
426,88,14,0.388263909,24,47,32,36,46,40,43,40,38,20
427,89,14,0.441896164,36,37,28,32,32,40,43,40,38,20
428,90,14,0.350021979,23,35,38,38,32,40,43,40,38,20
429,91,14,0.11613803,25,42,34,46,45,40,43,40,38,20
430,92,14,0.1964513,48,46,36,44,37,40,43,40,38,20
431,93,14,0.155876712,35,24,37,22,33,40,43,40,38,20
